iter	Passed	Remaining
0	1	1855
1	3	1784
2	4	1592
3	5	1450
4	7	1416
5	8	1329
6	8	1269
7	9	1239
8	10	1208
9	11	1178
10	12	1150
11	13	1138
12	14	1125
13	16	1186
14	18	1197
15	19	1190
16	20	1173
17	21	1157
18	22	1139
19	22	1124
20	23	1108
21	24	1095
22	25	1083
23	26	1073
24	27	1066
25	28	1062
26	29	1055
27	30	1065
28	32	1095
29	33	1095
30	34	1091
31	35	1083
32	36	1079
33	37	1071
34	38	1063
35	39	1056
36	40	1048
37	41	1042
38	42	1037
39	43	1032
40	43	1027
41	44	1022
42	46	1045
43	48	1055
44	49	1052
45	50	1044
46	51	1040
47	52	1036
48	53	1032
49	54	1031
50	55	1027
51	56	1026
52	57	1022
53	58	1020
54	59	1017
55	60	1013
56	62	1034
57	63	1036
58	64	1035
59	65	1031
60	66	1027
61	67	1021
62	68	1015
63	69	1010
64	70	1012
65	71	1014
66	72	1014
67	73	1010
68	74	1007
69	75	1003
70	77	1015
71	78	1014
72	79	1011
73	80	1007
74	81	1003
75	82	999
76	83	995
77	83	990
78	84	989
79	85	988
80	87	992
81	88	992
82	90	994
83	92	1008
84	94	1012
85	95	1018
86	97	1019
87	98	1023
88	99	1020
89	100	1017
90	101	1014
91	102	1010
92	103	1006
93	103	999
94	104	995
95	105	994
96	107	1003
97	108	1002
98	109	1000
99	110	997
100	112	997
101	113	996
102	114	993
103	115	991
104	115	988
105	116	984
106	117	981
107	118	977
108	119	974
109	119	970
110	121	976
111	123	981
112	124	980
113	126	980
114	127	978
115	128	975
116	128	972
117	129	968
118	130	966
119	131	963
120	132	960
121	132	957
122	133	954
123	134	951
124	136	956
125	138	958
126	139	956
127	140	954
128	141	952
129	141	949
130	142	946
131	143	943
132	144	940
133	145	938
134	146	936
135	146	933
136	147	930
137	148	928
138	149	924
139	150	921
140	152	928
141	153	929
142	154	928
143	155	926
144	156	924
145	157	921
146	158	919
147	159	917
148	160	915
149	161	912
150	161	909
151	162	907
152	163	905
153	164	903
154	165	901
155	167	906
156	168	905
157	169	904
158	170	902
159	171	900
160	172	898
161	173	895
162	173	893
163	174	891
164	175	889
165	176	887
166	177	885
167	178	882
168	179	880
169	179	878
170	181	879
171	183	883
172	184	882
173	185	882
174	186	880
175	187	879
176	188	877
177	189	875
178	190	873
179	191	871
180	192	869
181	192	866
182	193	864
183	194	862
184	195	860
185	197	865
186	198	865
187	199	863
188	200	861
189	201	859
190	202	857
191	203	855
192	204	853
193	205	851
194	205	849
195	206	847
196	207	845
197	208	843
198	209	841
199	210	840
200	211	838
201	212	840
202	213	839
203	214	837
204	215	836
205	216	834
206	217	833
207	218	831
208	219	829
209	220	827
210	220	826
211	221	824
212	222	822
213	223	820
214	224	818
215	224	816
216	226	816
217	228	817
218	229	817
219	230	815
220	231	814
221	231	812
222	232	811
223	233	809
224	234	807
225	235	805
226	236	804
227	236	802
228	237	800
229	238	798
230	239	797
231	240	795
232	242	796
233	243	798
234	244	796
235	245	795
236	246	793
237	247	792
238	248	790
239	248	788
240	249	786
241	250	784
242	251	783
243	252	781
244	252	779
245	253	777
246	254	776
247	255	775
248	257	776
249	258	776
250	259	775
251	260	773
252	261	772
253	262	770
254	263	768
255	263	767
256	264	765
257	265	764
258	266	762
259	267	761
260	268	759
261	269	757
262	270	756
263	270	755
264	273	758
265	274	757
266	275	756
267	276	755
268	277	753
269	278	752
270	279	750
271	279	748
272	280	747
273	281	745
274	282	744
275	283	742
276	283	741
277	284	739
278	285	738
279	286	737
280	288	739
281	290	738
282	291	737
283	292	736
284	293	735
285	294	734
286	295	732
287	295	731
288	296	729
289	297	728
290	298	726
291	299	725
292	299	723
293	300	722
294	302	722
295	303	722
296	305	722
297	305	720
298	306	719
299	307	717
300	308	716
301	309	715
302	310	713
303	311	712
304	312	711
305	313	710
306	314	709
307	315	708
308	317	710
309	319	710
310	320	709
311	321	708
312	321	706
313	322	705
314	323	703
315	324	702
316	325	700
317	326	699
318	327	698
319	327	696
320	328	695
321	329	694
322	330	692
323	331	691
324	333	692
325	334	691
326	335	690
327	336	689
328	337	687
329	338	686
330	338	684
331	339	683
332	340	682
333	341	680
334	342	679
335	343	678
336	343	676
337	344	675
338	345	674
339	347	674
340	349	674
341	349	673
342	350	671
343	351	670
344	352	669
345	353	668
346	354	667
347	355	665
348	356	664
349	357	663
350	357	661
351	358	660
352	359	659
353	360	657
354	361	656
355	363	656
356	364	656
357	365	655
358	366	653
359	367	652
360	368	651
361	369	650
362	369	649
363	370	647
364	371	646
365	372	645
366	373	644
367	374	643
368	375	641
369	376	640
370	377	639
371	379	640
372	380	639
373	381	638
374	382	638
375	383	637
376	384	635
377	385	634
378	386	632
379	387	631
380	388	630
381	388	629
382	389	627
383	390	626
384	391	625
385	393	625
386	394	625
387	395	624
388	396	623
389	397	621
390	398	620
391	399	619
392	400	617
393	400	616
394	401	615
395	402	613
396	403	612
397	404	611
398	405	610
399	406	609
400	407	607
401	408	608
402	410	607
403	411	606
404	412	605
405	412	604
406	413	602
407	414	601
408	415	600
409	416	598
410	417	597
411	417	596
412	418	595
413	419	593
414	420	592
415	421	591
416	422	591
417	424	591
418	425	590
419	426	589
420	427	587
421	428	586
422	429	585
423	430	584
424	430	582
425	431	581
426	432	580
427	433	578
428	433	577
429	434	576
430	435	575
431	436	573
432	438	573
433	440	574
434	441	573
435	442	572
436	443	570
437	443	569
438	444	568
439	445	567
440	446	566
441	447	564
442	448	563
443	449	562
444	449	561
445	450	559
446	451	558
447	453	558
448	455	558
449	456	557
450	457	556
451	458	555
452	459	554
453	460	553
454	460	552
455	461	550
456	462	549
457	463	548
458	464	546
459	464	545
460	465	544
461	466	543
462	468	543
463	470	543
464	471	542
465	472	541
466	473	540
467	474	539
468	475	538
469	476	537
470	477	536
471	478	535
472	479	534
473	480	532
474	481	531
475	482	530
476	484	530
477	485	530
478	486	528
479	487	528
480	488	526
481	489	525
482	489	524
483	490	523
484	491	522
485	492	521
486	493	520
487	494	518
488	495	517
489	496	516
490	496	515
491	498	515
492	500	514
493	501	513
494	501	512
495	502	510
496	503	509
497	504	508
498	505	507
499	506	506
500	507	505
501	508	504
502	509	503
503	510	502
504	511	500
505	511	499
506	514	499
507	515	499
508	516	498
509	517	497
510	518	496
511	519	494
512	519	493
513	520	492
514	521	491
515	522	490
516	523	489
517	524	487
518	525	486
519	525	485
520	526	484
521	527	483
522	529	483
523	530	482
524	531	481
525	532	479
526	533	478
527	534	477
528	535	476
529	536	475
530	537	474
531	538	473
532	538	472
533	539	470
534	540	469
535	541	468
536	542	467
537	543	466
538	545	466
539	546	465
540	547	464
541	548	463
542	549	462
543	550	461
544	552	460
545	553	459
546	553	458
547	554	457
548	555	456
549	556	455
550	557	454
551	559	454
552	561	453
553	562	452
554	563	451
555	564	451
556	566	450
557	567	449
558	568	448
559	569	447
560	570	446
561	571	445
562	573	444
563	575	444
564	576	443
565	577	442
566	578	441
567	579	441
568	581	440
569	582	439
570	583	438
571	584	437
572	585	436
573	586	434
574	586	433
575	588	433
576	590	433
577	592	432
578	593	431
579	594	430
580	595	429
581	596	428
582	597	427
583	598	426
584	599	424
585	599	423
586	600	422
587	601	421
588	602	420
589	605	420
590	607	420
591	608	419
592	609	418
593	610	417
594	611	416
595	612	415
596	613	414
597	614	413
598	615	412
599	616	410
600	617	409
601	620	410
602	622	409
603	624	409
604	625	408
605	626	407
606	627	406
607	628	405
608	629	404
609	631	403
610	632	402
611	635	403
612	638	402
613	639	402
614	640	400
615	641	399
616	642	398
617	644	398
618	645	397
619	646	395
620	646	394
621	650	395
622	652	394
623	653	393
624	654	392
625	655	391
626	656	390
627	658	389
628	659	388
629	660	387
630	661	386
631	663	386
632	665	386
633	667	385
634	669	384
635	670	383
636	671	382
637	672	381
638	673	380
639	674	379
640	675	378
641	679	379
642	690	383
643	691	382
644	692	381
645	695	381
646	697	380
647	699	380
648	701	379
649	702	378
650	703	377
651	704	376
652	705	374
653	706	373
654	707	372
655	711	373
656	713	372
657	715	371
658	715	370
659	716	369
660	718	368
661	719	367
662	720	366
663	721	364
664	722	363
665	723	362
666	727	363
667	728	362
668	730	361
669	731	360
670	732	359
671	734	358
672	735	357
673	736	356
674	736	354
675	737	353
676	741	353
677	742	352
678	744	351
679	745	350
680	746	349
681	748	348
682	749	347
683	750	346
684	751	345
685	753	344
686	755	344
687	757	343
688	759	342
689	760	341
690	761	340
691	762	339
692	763	338
693	764	336
694	765	335
695	766	334
696	766	333
697	767	332
698	770	331
699	772	331
700	774	330
701	775	329
702	776	328
703	777	327
704	778	325
705	780	324
706	781	323
707	782	322
708	785	322
709	787	321
710	789	320
711	790	319
712	791	318
713	792	317
714	794	316
715	795	315
716	796	314
717	797	313
718	798	312
719	801	311
720	803	310
721	804	309
722	806	308
723	807	307
724	808	306
725	810	305
726	811	304
727	812	303
728	814	302
729	816	302
730	818	301
731	819	300
732	820	299
733	822	298
734	823	297
735	824	295
736	825	294
737	826	293
738	828	292
739	831	292
740	832	291
741	834	290
742	835	289
743	836	287
744	837	286
745	838	285
746	839	284
747	840	283
748	841	281
749	842	280
750	844	279
751	846	279
752	848	278
753	849	277
754	851	276
755	852	275
756	853	273
757	854	272
758	855	271
759	856	270
760	858	269
761	860	268
762	861	267
763	862	266
764	863	265
765	864	264
766	865	263
767	867	261
768	868	260
769	869	259
770	870	258
771	871	257
772	872	256
773	874	255
774	875	254
775	877	253
776	878	252
777	879	251
778	881	249
779	882	248
780	883	247
781	884	246
782	884	245
783	886	244
784	887	243
785	889	242
786	891	241
787	892	240
788	893	239
789	894	237
790	895	236
791	896	235
792	897	234
793	898	233
794	899	231
795	900	230
796	900	229
797	901	228
798	904	227
799	905	226
800	907	225
801	908	224
802	909	223
803	910	221
804	910	220
805	911	219
806	912	218
807	913	217
808	914	215
809	915	214
810	916	213
811	917	212
812	919	211
813	921	210
814	922	209
815	923	208
816	924	207
817	925	205
818	926	204
819	927	203
820	928	202
821	929	201
822	929	200
823	930	198
824	931	197
825	932	196
826	934	195
827	935	194
828	937	193
829	938	192
830	939	191
831	940	189
832	941	188
833	942	187
834	942	186
835	943	185
836	944	183
837	945	182
838	946	181
839	947	180
840	949	179
841	950	178
842	951	177
843	952	176
844	953	174
845	954	173
846	955	172
847	956	171
848	957	170
849	958	169
850	958	167
851	959	166
852	960	165
853	961	164
854	962	163
855	964	162
856	965	161
857	966	160
858	967	158
859	968	157
860	969	156
861	970	155
862	971	154
863	972	153
864	973	151
865	974	150
866	974	149
867	975	148
868	976	147
869	977	146
870	979	145
871	981	144
872	982	142
873	982	141
874	983	140
875	984	139
876	985	138
877	986	137
878	987	135
879	988	134
880	989	133
881	990	132
882	990	131
883	991	130
884	992	129
885	994	127
886	996	126
887	997	125
888	999	124
889	1000	123
890	1001	122
891	1002	121
892	1003	120
893	1003	119
894	1005	117
895	1006	116
896	1007	115
897	1009	114
898	1010	113
899	1011	112
900	1012	111
901	1013	110
902	1014	108
903	1015	107
904	1016	106
905	1017	105
906	1017	104
907	1018	103
908	1019	102
909	1020	100
910	1021	99
911	1022	98
912	1024	97
913	1025	96
914	1026	95
915	1028	94
916	1029	93
917	1030	92
918	1031	90
919	1032	89
920	1033	88
921	1034	87
922	1035	86
923	1035	85
924	1036	84
925	1038	82
926	1040	81
927	1041	80
928	1043	79
929	1044	78
930	1046	77
931	1047	76
932	1048	75
933	1049	74
934	1050	73
935	1051	71
936	1052	70
937	1054	69
938	1055	68
939	1056	67
940	1057	66
941	1058	65
942	1059	64
943	1060	62
944	1060	61
945	1061	60
946	1062	59
947	1063	58
948	1064	57
949	1065	56
950	1066	54
951	1066	53
952	1068	52
953	1070	51
954	1071	50
955	1072	49
956	1073	48
957	1074	47
958	1074	45
959	1075	44
960	1077	43
961	1077	42
962	1078	41
963	1079	40
964	1080	39
965	1080	38
966	1081	36
967	1084	35
968	1085	34
969	1086	33
970	1087	32
971	1088	31
972	1089	30
973	1090	29
974	1090	27
975	1091	26
976	1092	25
977	1093	24
978	1094	23
979	1095	22
980	1096	21
981	1097	20
982	1098	19
983	1100	17
984	1101	16
985	1102	15
986	1103	14
987	1104	13
988	1104	12
989	1105	11
990	1106	10
991	1107	8
992	1108	7
993	1109	6
994	1109	5
995	1110	4
996	1111	3
997	1112	2
998	1114	1
999	1115	0
